Inselberg ;Gamma;Biomass(median);PC1;PC2;Depth(median);Meanlogdepth2;MDSE2;Meanlogbiomass2;MBSE2;Slope;SSE;Prominence;Meanlogdepth;MDSE;Meanlogbiomass;MBSE;GSE
IVC;120.452;23.33663603;-2.311085653;-2.143807399;8.5;3.195802;0.10003486;2.4402569;1.0536841;0.7815;0.42026;13;2.313092;0.18303836;2.8219446;0.2700577;17.54
SPN;32.591;2.852221729;0.071264127;-0.12392595;5.7;2.853246;0.04617315;0.3283541;0.5538607;1.41483;0.89166;171;1.836592;0.14675401;1.1243895;0.2566351;9.731
KAM;63.894;3.70731;-0.38449362;1.455776296;37;3.329472;0.07991939;2.7043654;0.7887946;-4.795;1.43717;77;3.713293;0.17003288;1.7925637;0.6425799;14.648
SWE;38.133;2.667689982;1.611566707;0.091461245;20;3.180475;0.06298411;0.7535023;0.7073459;2.46265;0.5981;1;3.058427;0.1342256;1.1881376;0.4856423;9.783
FRA;36.619;7.379728998;0.971672129;-0.250732004;8.75;2.950498;0.06837685;1.2184394;0.8635303;0.08131;0.6132;25;2.088464;0.1532226;2.2400882;0.3013789;8.595
USA;13.16;5.659874305;1.722636396;-1.704810037;9;3.149228;0.16981828;1.1694531;0.6980932;1.33882;0.66085;11;2.210575;0.14450561;1.612595;0.2517437;0.52
KOR;33.044;3.21768;-0.011807106;-0.093748636;23;3.205718;0.0455214;0.605164;0.2968323;-0.29845;0.43548;319;3.069439;0.08111965;0.813497;0.2808653;4.752
SWA;69.471;1.514134526;-0.275988133;1.027243307;11;3.31312;0.09654355;0.1876977;0.2553366;-1.52618;1.07774;57;2.384757;0.1388743;0.6789106;0.2367907;9.978
NWA;40.913;6.611476652;-0.58221594;1.498284133;13;3.053927;0.06055852;3.7334809;0.4670464;0.96859;0.6615;34;2.57361;0.0980865;2.1285984;0.4202799;3.901
MAL;55.093;7.369997773;-0.811548907;0.244259046;8.5;3.205718;0.10965113;1.7502789;0.5814398;0.03447;0.60482;38;2.353317;0.14058647;1.8780273;0.2194977;2.972
